City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,arraial do cabo,-22.9661,-42.0278,33.98,58,0,4.63,BR,1715273107
181,kangaba,11.9333,-8.4167,35.04,34,95,2.13,ML,1715273107
182,borogontsy,62.6683,131.1683,-3.16,84,26,3.4,RU,1715273108
183,uturoa,-16.7333,-151.4333,27.57,70,22,6.18,PF,1715273108
184,katsuura,35.1333,140.3,12.83,63,0,3.21,JP,1715273108
185,hasaki,35.7333,140.8333,8.22,47,0,4.0,JP,1715273108
186,ankazoabo,-22.2833,44.5167,22.47,54,6,2.63,MG,1715273109
187,alesund,62.4723,6.1549,9.07,76,40,6.69,NO,1715273109
188,dolores hidalgo cuna de la independencia nacional,21.1561,-100.9308,30.48,12,3,3.86,MX,1715273109
189,arica,-18.475,-70.3042,20.75,72,100,3.6,CL,1715272824
190,island harbour,50.724,-1.2758,21.04,78,60,2.1,GB,1715273110
191,sitka,57.0531,-135.33,10.94,82,100,4.63,US,1715273110
192,inarajan village,13.2736,144.7484,28.08,92,52,5.78,GU,1715273110
193,kavieng,-2.5744,150.7967,26.7,84,100,2.69,PG,1715273111
194,talcahuano,-36.7167,-73.1167,11.82,71,0,3.09,CL,1715272884
195,vershino-darasunskiy,52.35,115.5167,5.14,75,79,1.97,RU,1715273111
196,sisimiut,66.9395,-53.6735,-0.63,68,5,2.49,GL,1715273111
197,enewetak,11.3474,162.3373,27.34,72,87,9.09,MH,1715273111
198,eyl,7.9803,49.8164,29.41,80,81,4.65,SO,1715273112
199,tavricheskoye,54.5851,73.6395,15.95,80,100,4.6,RU,1715273112
200,timmins,48.4669,-81.3331,12.9,41,75,4.12,CA,1715272837
201,ain beida,35.7964,7.3928,12.47,65,100,7.99,DZ,1715273112
202,jiangkou,25.4872,119.1986,18.2,73,100,3.48,CN,1715273112
203,tongchuanshi,35.0806,109.0897,17.28,71,6,0.23,CN,1715273113
204,san antonio,29.4241,-98.4936,32.59,70,40,3.09,US,1715272801
205,saipan,15.1355,145.701,28.39,83,40,5.14,MP,1715273113
206,nuku'alofa,-21.1333,-175.2,23.19,64,20,3.6,TO,1715273113
207,la paz,-16.5,-68.15,17.54,47,40,1.54,BO,1715273076
208,aykhal,66.0,111.5,-12.02,98,100,1.77,RU,1715273113
209,keningau,5.3378,116.1602,21.82,98,74,0.97,MY,1715273114
210,vila franca do campo,37.7167,-25.4333,19.23,99,100,2.79,PT,1715273114
211,mushie,-3.0167,16.9,29.62,60,95,2.05,CD,1715273114
212,moranbah,-22.0016,148.0466,19.19,86,100,6.34,AU,1715273114
213,jianshui,23.6363,102.8264,18.12,89,82,0.53,CN,1715273115
214,wailua homesteads,22.0669,-159.378,20.44,90,75,2.06,US,1715273115
215,elliot lake,46.3834,-82.6331,15.26,36,35,2.39,CA,1715272636
216,coahuayana de hidalgo,18.7,-103.6583,29.65,53,1,3.4,MX,1715273115
217,dogondoutchi,13.6393,4.0287,40.48,21,86,3.55,NE,1715273116
218,katabu,-4.9333,122.5167,24.31,96,97,1.6,ID,1715273116
219,barcelos,41.5388,-8.6151,29.4,47,69,2.45,PT,1715272887
220,lively,46.4334,-81.1498,13.34,50,25,3.97,CA,1715273116
221,crane,31.3974,-102.3501,29.41,15,0,8.54,US,1715273116
222,brookings,44.3114,-96.7984,18.36,53,0,4.63,US,1715273117
223,vila velha,-20.3297,-40.2925,31.09,79,20,4.63,BR,1715272492
224,wuwei,37.9281,102.6414,15.82,47,86,3.6,CN,1715273117
225,kapa'a,22.0752,-159.319,21.18,90,75,2.06,US,1715273117
226,steinbach,50.1667,8.5667,21.5,42,0,4.12,DE,1715273005
227,bloomsburg,41.0037,-76.4549,18.17,65,100,0.45,US,1715273038
228,mizque,-17.941,-65.3402,26.41,40,7,2.95,BO,1715272942
229,malvan,16.0667,73.4667,28.42,77,0,5.79,IN,1715273118
230,stornoway,58.2093,-6.3865,12.99,93,75,3.09,GB,1715273118
231,inhambane,-23.865,35.3833,24.99,78,20,2.85,MZ,1715273119
232,susuman,62.7833,148.1667,-0.57,86,86,1.79,RU,1715273119
233,kon tum,14.35,108.0,20.25,85,41,1.23,VN,1715273119
234,bonnyville,54.2668,-110.735,14.89,45,11,7.08,CA,1715273119
235,mount isa,-20.7333,139.5,19.87,83,75,4.12,AU,1715273120
236,horta,38.5333,-28.6333,19.45,81,75,5.36,PT,1715273120
237,huanren,41.2647,125.3667,11.92,88,82,2.23,CN,1715273120
238,selfoss,63.9331,-20.9971,7.94,44,100,3.05,IS,1715273120
239,flying fish cove,-10.4217,105.6791,26.82,83,75,4.63,CX,1715273120
240,tahta,26.7693,31.5021,33.51,6,0,1.78,EG,1715273121
241,sibolga,1.7427,98.7792,26.24,89,100,2.08,ID,1715273121
242,bandarbeyla,9.4942,50.8122,29.27,78,100,5.55,SO,1715273121
243,praia da vitoria,38.7333,-27.0667,23.14,53,20,3.19,PT,1715273121
244,alice springs,-23.7,133.8833,10.75,87,23,0.0,AU,1715273122
245,queenstown,-31.8976,26.8753,20.07,33,48,2.88,ZA,1715273122
246,bayanaul,50.7889,75.6956,19.09,32,97,2.46,KZ,1715272879
247,palu,-0.8917,119.8707,24.53,97,100,1.54,ID,1715273122
248,pishva,35.308,51.7267,20.95,26,2,6.99,IR,1715273123
249,corowa,-36.0333,146.3833,14.67,83,100,2.36,AU,1715273123
250,priladozhskiy,59.85,31.4833,4.53,48,66,4.5,RU,1715273123
251,taulaga,-11.0553,-171.0883,29.1,73,96,3.66,AS,1715273123
252,salalah,17.0151,54.0924,31.05,74,40,3.6,OM,1715273123
253,hotan,37.0997,79.9269,25.47,11,6,3.26,CN,1715273124
254,okha,53.5739,142.9478,3.47,93,100,2.68,RU,1715273124
255,rocha,-34.4833,-54.3333,14.79,55,0,5.24,UY,1715273028
256,ambon,-3.6954,128.1814,27.15,15,40,1.54,ID,1715273125
257,labrador city,52.9463,-66.9114,8.99,34,0,6.71,CA,1715273125
258,hirara,24.8,125.2833,21.92,68,20,4.12,JP,1715273125
259,nikolayevsk-on-amure,53.1406,140.73,3.45,96,100,1.79,RU,1715273125
260,kavaratti,10.5669,72.642,30.14,69,100,4.86,IN,1715273125
261,gillette,44.2911,-105.5022,11.73,67,40,7.72,US,1715273126
262,petrolina,-9.3986,-40.5008,26.03,89,75,4.12,BR,1715273098
263,estancia,-11.2683,-37.4383,28.88,62,23,4.63,BR,1715273126
264,revda,56.801,59.9303,-0.24,72,44,1.96,RU,1715273126
265,las lomitas,-24.7096,-60.593,14.58,57,100,1.94,AR,1715273127
266,esquel,-42.9,-71.3167,3.5,94,57,2.39,AR,1715273127
267,corner brook,48.9667,-57.9484,10.09,57,87,2.63,CA,1715272519
268,conde,-7.2597,-34.9075,27.7,83,75,7.2,BR,1715273127
269,luanda,-8.8368,13.2343,29.0,84,0,6.17,AO,1715273127
270,hailun,47.45,126.9333,12.5,26,100,3.89,CN,1715273079
271,poteau,35.0537,-94.6236,26.17,44,0,1.54,US,1715273128
272,wanxian,30.8039,108.3897,21.85,73,95,1.44,CN,1715273128
273,mount pearl,47.5166,-52.7813,10.19,65,75,4.63,CA,1715272862
274,islamorada,24.9243,-80.6278,29.0,84,0,4.63,US,1715273105
275,wulingyuan,29.3494,110.5441,14.84,93,100,1.66,CN,1715273129
276,medvezh'yegorsk,62.9167,34.4667,0.44,65,90,4.23,RU,1715273129
277,leirvik,59.7798,5.5005,11.46,100,75,3.6,NO,1715273129
278,balqash,46.8481,74.995,19.82,44,62,1.16,KZ,1715273129
279,port hedland,-20.3167,118.5667,20.03,60,0,2.06,AU,1715273130
280,salinas,36.6777,-121.6555,24.78,50,0,5.14,US,1715273081
281,saint-philippe,-21.3585,55.7679,24.77,81,75,7.74,RE,1715273130
282,utrik,11.2278,169.8474,26.93,76,94,8.32,MH,1715273130
283,port augusta,-32.5,137.7667,14.05,68,9,2.81,AU,1715273131
284,la peca,-5.6111,-78.435,28.67,60,66,0.96,PE,1715272919
285,smithers,54.7804,-127.1743,7.18,65,75,2.57,CA,1715273132
286,tual,-5.6667,132.75,28.74,77,58,7.17,ID,1715273132
287,port alfred,-33.5906,26.891,18.43,94,10,1.22,ZA,1715273132
288,mana,5.6592,-53.7767,29.54,68,100,4.81,GF,1715273132
289,berezovyy,51.6667,135.7,3.71,95,99,1.23,RU,1715273133
290,qashyr,53.0675,76.1036,19.32,39,100,3.59,KZ,1715273133
291,kapit,2.0167,112.9333,23.8,99,100,0.33,MY,1715273133
292,okhotsk,59.3833,143.3,-0.25,91,100,5.98,RU,1715273133
293,delijan,33.9905,50.6838,18.1,26,1,5.74,IR,1715273134
294,hithadhoo,-0.6,73.0833,29.65,76,100,4.98,MV,1715273134
295,chulym,55.0997,80.9572,13.64,61,100,5.38,RU,1715273134
296,nemuro,43.3236,145.575,3.48,92,100,3.97,JP,1715273134
297,qaqortoq,60.7167,-46.0333,4.31,60,100,1.15,GL,1715273135
298,kitakata,37.65,139.8667,3.39,91,0,0.53,JP,1715273135
299,tazovsky,67.4667,78.7,-9.16,96,84,4.48,RU,1715273135
300,saldanha,-33.0117,17.9442,16.03,83,0,1.36,ZA,1715273135
301,sandnessjoen,66.0217,12.6316,7.06,61,75,3.6,NO,1715273135
302,port blair,11.6667,92.75,31.02,70,40,1.03,IN,1715273135
303,harper,4.375,-7.7169,29.4,74,83,2.6,LR,1715273136
304,bajil,15.0584,43.2851,31.92,60,95,2.49,YE,1715273136
305,kongolo,-5.3833,27.0,25.86,71,90,2.09,CD,1715273136
306,fort bragg,35.139,-79.006,24.9,75,75,6.69,US,1715272847
307,bowen,-20.0167,148.2333,22.93,85,100,6.34,AU,1715273137
308,jumla,29.2747,82.1838,10.76,89,96,0.53,NP,1715273137
309,chilca,-12.5211,-76.7372,19.51,85,90,3.45,PE,1715273137
310,hobyo,5.3505,48.5268,29.53,79,97,5.48,SO,1715273137
311,kachhwa,25.2167,82.7167,29.99,47,84,2.79,IN,1715273137
312,luang prabang,19.8856,102.1347,22.35,97,58,0.4,LA,1715273138
313,oriximina,-1.7656,-55.8661,31.58,66,38,2.35,BR,1715273138
314,mitchell,43.7094,-98.0298,18.74,58,57,5.18,US,1715272853
315,chadron,42.8294,-102.9999,8.87,90,100,2.57,US,1715273138
316,axim,4.8699,-2.2405,29.8,70,99,3.16,GH,1715273139
317,emerald,-23.5333,148.1667,17.97,87,100,3.34,AU,1715273139
318,broome,42.2506,-75.833,14.18,71,100,0.89,US,1715273139
319,jayapura,-2.5333,140.7,24.66,91,100,1.42,ID,1715273140
320,san martin de los andes,-40.1604,-71.3486,8.14,72,100,4.02,AR,1715272993
321,fort st. john,56.2499,-120.8529,13.94,33,75,11.83,CA,1715272920
322,mali,12.079,-12.2982,25.91,46,74,0.61,GN,1715273140
323,tapes,-30.6733,-51.3958,17.28,52,42,2.47,BR,1715273140
324,howrah,22.5892,88.3103,23.0,88,75,5.14,IN,1715273141
325,yallahs,17.8748,-76.5624,32.63,70,62,5.06,JM,1715273141
326,laminusa,5.5549,120.9136,28.68,77,14,4.13,PH,1715273141
327,tarauaca,-8.1614,-70.7656,29.26,77,66,1.3,BR,1715272968
328,chukhloma,58.7525,42.6825,2.27,60,100,6.26,RU,1715273141
